,max_market_cap_in_eth,tfidf_score_per_token_state_variables,tfidf_score_per_token_contract_names,count_vars,number_contracts
0,1,2.2359707402820104,1.7966201909418333,5,10
1,29,3.7286757395963184,2.816017174029958,8,7
2,159,4.895286922180507,2.0838849032350724,7,13
3,457928617174333568,7.7979751283358905,3.458459228204805,16,5
4,2,9.21349961888125,2.5552075951841444,9,13
5,51,8.873833248385209,2.8116640832914452,11,7
6,121,3.084780709429382,1.4105363431624838,2,7
7,817,8.351482115947,2.4003103280442226,8,10
8,1192,7.930914343764392,2.4587656010887162,9,2
9,575,5.5875608730858355,1.9098085273923657,6,10
10,20,10.444552537157646,3.1919411450964326,13,13
11,131,7.537873963733134,2.6286473394198957,10,7
12,14,3.084780709429382,1.4105363431624838,2,9
13,151,7.8743821514136085,3.301525373282919,15,7
14,1010,9.003678441338192,2.6286473394198957,10,2
15,84652,8.780706530745066,2.9391755952785927,12,9
16,7,3.084780709429382,1.4105363431624838,2,9
17,109,8.065041426885298,2.620807793530608,10,10
18,656,4.613436821957766,2.1223229720511214,7,9
19,68,10.364712180678927,3.1426872505648644,13,10
20,37,6.148714086484523,2.083884903235072,7,10
21,62,7.0110687331221495,2.553417177812293,9,7
22,32,9.04865170469684,2.693712095118054,10,13
23,5,7.468826436569292,2.532756047137494,9,13
24,516,8.317337775193119,2.6286473394198957,10,9
25,4269,8.144547167369208,2.553417177812293,9,6
26,37,5.153660134944942,2.4906084827349533,9,11
27,742,6.399453663584461,2.6710169817134863,10,13
28,74,7.296431684068486,2.532756047137494,9,7
29,42532,8.265394959917556,2.6378270257497833,10,2
30,152,8.51251095194525,2.6286473394198957,10,7
31,6,5.5875608730858355,1.909808527392366,6,13
32,2,10.991050055863683,3.1426872505648644,13,13
33,122,8.171879063074357,2.6286473394198957,10,2
34,94,10.645942156906301,3.1919411450964326,13,7
35,44,2.5986147177270134,1.7418257455246833,4,7
36,1018,6.179948864923678,2.083884903235072,7,12
37,14,6.079936817967371,2.083884903235072,7,10
38,997000015,9.003678441338192,2.6286473394198957,10,7
39,393,7.247688351238387,2.4441355191462084,9,10
40,399,9.192777354734073,3.701921630259018,15,9
41,2,6.614371921198646,2.2312577803750444,7,18
42,1290,8.873833248385209,2.8116640832914452,11,10
43,3,6.179948864923678,2.0838849032350724,7,13
44,117,3.4588039814949094,1.4142135623730951,2,10
45,1,6.179948864923678,2.083884903235072,7,14
46,96,7.215320794380782,2.6286473394198957,10,8
47,5,7.762481694974262,2.3277387427336507,8,10
48,2,8.989031690242768,2.6286473394198957,10,9
49,277,6.0807335684440265,2.083884903235072,7,13
50,49,8.512791359973754,3.130706846279109,13,13
51,138,8.023746648576942,2.6633563208183473,10,15
52,5881,7.8873850274025,2.284542715199944,8,9
53,63,6.079936817967371,2.083884903235072,7,9
54,3,5.5875608730858355,1.9098085273923657,6,9
55,81,6.06625169098639,2.083884903235072,7,7
56,96,6.06625169098639,2.083884903235072,7,7
57,46,10.096028014936405,3.1426872505648644,13,7
58,1,6.06625169098639,2.0838849032350724,7,5
59,280,6.066251690986389,2.0838849032350724,7,6
60,20,8.989031690242768,2.6286473394198957,10,30
61,26,7.2478890315444815,2.532756047137494,9,13
62,18,6.179948864923678,2.083884903235072,7,7
63,47,5.76559460606426,2.147814032097004,7,10
64,2,6.1021150094867185,2.083884903235072,7,1
65,123393064176262416,6.06625169098639,2.0838849032350724,7,8
66,131,6.06625169098639,2.0838849032350724,7,11
67,51,5.400006319050501,1.909808527392366,6,6
68,422,6.066251690986389,2.0838849032350724,7,10
69,720,6.06625169098639,2.0838849032350724,7,7
70,105,10.364712180678927,3.1426872505648644,13,10
71,55,8.328050396012078,2.4003103280442226,8,7
72,49,8.989031690242768,2.6286473394198957,10,7
73,154,6.06625169098639,2.083884903235072,7,4
74,108,6.06625169098639,2.083884903235072,7,13
75,113,6.06625169098639,2.083884903235072,7,8
76,30,6.080733568444027,2.083884903235072,7,10
77,73,8.989031690242768,2.6286473394198957,10,7
78,50,12.308050469532574,2.721610982043515,11,7
79,374,6.080733568444027,2.083884903235072,7,9
80,1061,11.055013264653654,3.1426872505648644,13,10
81,9299,6.06625169098639,2.083884903235072,7,8
82,1172,42.39738520119156,3.063021060959178,10,15
83,23,2.8256677987561765,1.4374652808857806,3,7
84,38,6.06625169098639,2.083884903235072,7,7
85,246,5.5875608730858355,1.909808527392366,6,10
86,29,10.364712180678927,3.1426872505648644,13,3
87,5,41.92919444201483,2.718425617503918,8,11
88,297,6.06625169098639,2.083884903235072,7,10
89,17,8.058850670542759,2.620807793530608,10,9
90,8,20.626822929273438,4.970137792547631,30,10
91,795,6.06625169098639,2.083884903235072,7,7
92,9,10.767681231402943,3.1426872505648644,13,10
93,148,6.066251690986389,2.0838849032350724,7,10
94,49,10.364712180678927,3.1426872505648644,13,8
95,18,3.4943693887520766,2.2964549579985984,7,7
96,20,8.193077438106393,2.442576754477897,9,7
97,12,7.940162973868354,2.458765601088716,9,13
98,402,8.989031690242768,2.6286473394198957,10,9
99,109,8.058850670542759,2.620807793530608,10,7
100,18,10.193803056104604,3.1426872505648644,13,13
101,35,5.5875608730858355,1.9098085273923657,6,7
102,38,9.003678441338192,2.6286473394198957,10,7
103,22,8.058850670542759,2.6208077935306084,10,10
104,63,7.583894241467625,2.6378270257497833,10,7
105,2,7.253785011925304,2.8014920718751446,9,12
106,11233934,10.364712180678927,3.1426872505648644,13,16
107,31,8.317337775193119,2.6286473394198957,10,7
108,25,10.444552537157646,3.1426872505648644,13,8
109,2,6.814139243037747,2.836976913585358,11,8
110,94,2.2359707402820104,1.7966201909418333,5,6
111,139,7.488808702602619,2.532756047137494,9,9
112,26,7.9869774261335,3.1426872505648644,13,6
113,4,10.444552537157646,3.1426872505648644,13,5
114,1510,3.2359707402820104,3.977367320581823,18,13
115,1,10.654732542048295,3.1426872505648644,13,13
116,13,6.994032493747296,2.2872757035933544,8,10
117,124,7.1085845669096965,2.8750415622362016,12,7
118,309,7.940162973868354,2.458765601088716,9,10
119,79,2.4463356492528887,1.0,1,13
120,1,10.444552537157646,3.1426872505648644,13,9
121,55,8.233984983567751,3.1882738389983314,14,7
122,9,8.592073073467837,2.4906084827349537,9,6
123,9,2.2359707402820104,1.7966201909418333,5,10
124,53485,8.058850670542759,2.620807793530608,10,11
